task,solved,final_pixel_accuracy,n_hidden_channels,temperature,steps,trials,learning_rate,mask_prob_low,mask_prob_high
1,False,0.3333333432674408,20,5,10,128,0.002,0.0,0.75
2,True,1.0,20,5,10,128,0.002,0.0,0.75
3,False,0.6419752836227417,20,5,10,128,0.002,0.0,0.75
4,False,0.9135802388191223,20,5,10,128,0.002,0.0,0.75
5,False,0.8888888955116272,20,5,10,128,0.002,0.0,0.75
6,False,0.8757396340370178,20,5,10,128,0.002,0.0,0.75
7,False,0.7777777910232544,20,5,10,128,0.002,0.0,0.75
8,False,0.8513931632041931,20,5,10,128,0.002,0.0,0.75
9,False,0.36266347765922546,20,5,10,128,0.002,0.0,0.75
10,False,0.9560439586639404,20,5,10,128,0.002,0.0,0.75
11,False,0.7199999690055847,20,5,10,128,0.002,0.0,0.75
12,False,0.5555555820465088,20,5,10,128,0.002,0.0,0.75
13,False,0.5555555820465088,20,5,10,128,0.002,0.0,0.75
14,False,0.85999995470047,20,5,10,128,0.002,0.0,0.75
15,False,0.3266666829586029,20,5,10,128,0.002,0.0,0.75
16,False,0.8622222542762756,20,5,10,128,0.002,0.0,0.75
17,False,0.85999995470047,20,5,10,128,0.002,0.0,0.75
18,False,0.8299319744110107,20,5,10,128,0.002,0.0,0.75
19,False,0.8619047999382019,20,5,10,128,0.002,0.0,0.75
20,False,0.7299999594688416,20,5,10,128,0.002,0.0,0.75
21,False,0.8395061492919922,20,5,10,128,0.002,0.0,0.75
22,False,0.8799999952316284,20,5,10,128,0.002,0.0,0.75
23,False,0.9027777910232544,20,5,10,128,0.002,0.0,0.75
24,False,0.8799999952316284,20,5,10,128,0.002,0.0,0.75
25,False,0.9000000357627869,20,5,10,128,0.002,0.0,0.75
26,False,0.5121107697486877,20,5,10,128,0.002,0.0,0.75
27,True,1.0,20,5,10,128,0.002,0.0,0.75
28,False,0.9259259104728699,20,5,10,128,0.002,0.0,0.75
29,False,0.8145363330841064,20,5,10,128,0.002,0.0,0.75
30,False,0.699999988079071,20,5,10,128,0.002,0.0,0.75
31,False,0.8472222089767456,20,5,10,128,0.002,0.0,0.75
32,False,0.7899999618530273,20,5,10,128,0.002,0.0,0.75
33,False,0.1428571343421936,20,5,10,128,0.002,0.0,0.75
34,False,0.908906877040863,20,5,10,128,0.002,0.0,0.75
35,False,0.9377163052558899,20,5,10,128,0.002,0.0,0.75
36,False,0.629807710647583,20,5,10,128,0.002,0.0,0.75
37,False,0.3896103799343109,20,5,10,128,0.002,0.0,0.75
38,False,0.46153849363327026,20,5,10,128,0.002,0.0,0.75
39,False,0.953125,20,5,10,128,0.002,0.0,0.75
40,False,0.875,20,5,10,128,0.002,0.0,0.75
41,False,0.9600000381469727,20,5,10,128,0.002,0.0,0.75
42,False,0.9733333587646484,20,5,10,128,0.002,0.0,0.75
43,False,0.85999995470047,20,5,10,128,0.002,0.0,0.75
44,False,0.8999999761581421,20,5,10,128,0.002,0.0,0.75
45,False,0.9053254723548889,20,5,10,128,0.002,0.0,0.75
46,False,0.9506173133850098,20,5,10,128,0.002,0.0,0.75
47,False,0.7299999594688416,20,5,10,128,0.002,0.0,0.75
48,False,0.7799999713897705,20,5,10,128,0.002,0.0,0.75
49,False,0.8299999833106995,20,5,10,128,0.002,0.0,0.75
50,False,0.800000011920929,20,5,10,128,0.002,0.0,0.75
51,False,0.8222222328186035,20,5,10,128,0.002,0.0,0.75
52,False,0.2222222238779068,20,5,10,128,0.002,0.0,0.75
53,False,0.8518518805503845,20,5,10,128,0.002,0.0,0.75
54,True,0.9999999403953552,20,5,10,128,0.002,0.0,0.75
55,False,0.7777777910232544,20,5,10,128,0.002,0.0,0.75
56,False,0.9166666865348816,20,5,10,128,0.002,0.0,0.75
57,False,0.92578125,20,5,10,128,0.002,0.0,0.75
58,False,0.9699999690055847,20,5,10,128,0.002,0.0,0.75
59,False,0.7205882668495178,20,5,10,128,0.002,0.0,0.75
60,False,0.9090909361839294,20,5,10,128,0.002,0.0,0.75
61,False,0.7699999809265137,20,5,10,128,0.002,0.0,0.75
62,False,0.9599999785423279,20,5,10,128,0.002,0.0,0.75
63,False,0.9019607901573181,20,5,10,128,0.002,0.0,0.75
64,False,0.9333333373069763,20,5,10,128,0.002,0.0,0.75
65,False,0.9464285969734192,20,5,10,128,0.002,0.0,0.75
66,False,0.9333333969116211,20,5,10,128,0.002,0.0,0.75
67,False,0.7400000095367432,20,5,10,128,0.002,0.0,0.75
68,False,0.8047337532043457,20,5,10,128,0.002,0.0,0.75
69,False,0.05785123631358147,20,5,10,128,0.002,0.0,0.75
70,False,0.9935897588729858,20,5,10,128,0.002,0.0,0.75
71,False,0.9320987462997437,20,5,10,128,0.002,0.0,0.75
72,False,0.8999999761581421,20,5,10,128,0.002,0.0,0.75
73,True,1.0,20,5,10,128,0.002,0.0,0.75
74,False,0.4356725215911865,20,5,10,128,0.002,0.0,0.75
75,False,0.85999995470047,20,5,10,128,0.002,0.0,0.75
76,False,0.9669421315193176,20,5,10,128,0.002,0.0,0.75
77,False,0.8282828330993652,20,5,10,128,0.002,0.0,0.75
78,False,0.9513888955116272,20,5,10,128,0.002,0.0,0.75
79,False,0.8148148059844971,20,5,10,128,0.002,0.0,0.75
80,True,1.0,20,5,10,128,0.002,0.0,0.75
81,False,0.7400000095367432,20,5,10,128,0.002,0.0,0.75
82,False,0.890625,20,5,10,128,0.002,0.0,0.75
83,False,0.1111111119389534,20,5,10,128,0.002,0.0,0.75
84,False,0.9699999690055847,20,5,10,128,0.002,0.0,0.75
85,False,0.8299999833106995,20,5,10,128,0.002,0.0,0.75
86,False,0.5454545617103577,20,5,10,128,0.002,0.0,0.75
87,False,0.8024691343307495,20,5,10,128,0.002,0.0,0.75
88,False,0.7288889288902283,20,5,10,128,0.002,0.0,0.75
89,False,0.7899999618530273,20,5,10,128,0.002,0.0,0.75
90,False,0.9199999570846558,20,5,10,128,0.002,0.0,0.75
91,False,0.8708333969116211,20,5,10,128,0.002,0.0,0.75
92,False,0.9333333969116211,20,5,10,128,0.002,0.0,0.75
93,False,0.8909090757369995,20,5,10,128,0.002,0.0,0.75
94,False,0.8888888955116272,20,5,10,128,0.002,0.0,0.75
95,True,1.0,20,5,10,128,0.002,0.0,0.75
96,True,1.0,20,5,10,128,0.002,0.0,0.75
97,False,0.0,20,5,10,128,0.002,0.0,0.75
98,False,0.6127945780754089,20,5,10,128,0.002,0.0,0.75
99,False,0.9652777910232544,20,5,10,128,0.002,0.0,0.75
100,False,0.7478991746902466,20,5,10,128,0.002,0.0,0.75
101,False,0.8979591727256775,20,5,10,128,0.002,0.0,0.75
102,False,0.888888955116272,20,5,10,128,0.002,0.0,0.75
103,False,0.7142857313156128,20,5,10,128,0.002,0.0,0.75
104,False,0.8899999856948853,20,5,10,128,0.002,0.0,0.75
105,False,0.09693877398967743,20,5,10,128,0.002,0.0,0.75
106,False,0.10000000894069672,20,5,10,128,0.002,0.0,0.75
107,True,1.0,20,5,10,128,0.002,0.0,0.75
108,False,0.9300000071525574,20,5,10,128,0.002,0.0,0.75
109,False,0.2222222238779068,20,5,10,128,0.002,0.0,0.75
110,False,0.9199999570846558,20,5,10,128,0.002,0.0,0.75
111,False,0.9898989796638489,20,5,10,128,0.002,0.0,0.75
112,False,0.6431372761726379,20,5,10,128,0.002,0.0,0.75
113,False,0.8374291062355042,20,5,10,128,0.002,0.0,0.75
114,False,0.9699999690055847,20,5,10,128,0.002,0.0,0.75
115,False,0.9473683834075928,20,5,10,128,0.002,0.0,0.75
116,False,0.8888888955116272,20,5,10,128,0.002,0.0,0.75
117,False,0.7024793028831482,20,5,10,128,0.002,0.0,0.75
118,False,0.8700000047683716,20,5,10,128,0.002,0.0,0.75
119,False,0.9600000381469727,20,5,10,128,0.002,0.0,0.75
120,False,0.9479166865348816,20,5,10,128,0.002,0.0,0.75
121,False,0.3622290790081024,20,5,10,128,0.002,0.0,0.75
122,True,1.0,20,5,10,128,0.002,0.0,0.75
