task,accuracy_delta
1,-0.3333333432674408
2,0.0
3,-0.17283952236175537
4,-0.06172835826873779
5,0.0
6,-0.005917191505432129
7,-0.1111111044883728
8,-0.00619196891784668
9,-0.21878716349601746
10,0.005494534969329834
11,0.04000002145767212
12,-0.1111111044883728
13,0.222222238779068
14,0.019999980926513672
15,0.058888912200927734
16,0.0
17,-0.11000001430511475
18,0.05215424299240112
19,-0.00952380895614624
20,-0.050000011920928955
21,-0.037037014961242676
22,-0.10000002384185791
23,0.0625
24,-0.11000001430511475
25,-0.04999995231628418
26,0.03114187717437744
27,0.019607841968536377
28,0.0
29,0.027568936347961426
30,-0.30000001192092896
31,0.09722226858139038
32,0.0
33,-0.02040816843509674
34,-0.030364394187927246
35,-0.03460204601287842
36,0.03365391492843628
37,-0.40259742736816406
38,-0.051282018423080444
39,0.0
40,-0.012499988079071045
41,-0.039999961853027344
42,-0.07999998331069946
43,-5.960464477539063e-08
44,-0.050000011920928955
45,-0.02958577871322632
46,0.024691343307495117
47,-0.1575000286102295
48,-0.11000001430511475
49,-0.009999990463256836
50,-0.13333332538604736
51,-0.07555550336837769
52,0.111111119389534
53,-0.03703707456588745
54,-5.960464477539063e-08
55,-0.041666626930236816
56,-0.034722208976745605
57,-0.10546875
58,0.029999971389770508
59,-0.08823531866073608
60,-0.011363625526428223
61,-0.06999999284744263
62,0.00999993085861206
63,0.019607841968536377
64,-0.03333330154418945
65,-0.029761910438537598
66,0.0
67,-0.18000000715255737
68,0.0
69,-0.6590909287333488
70,0.9615384936332703
71,-0.06172841787338257
72,-5.960464477539063e-08
73,0.0
74,-0.25438594818115234
75,-0.06000000238418579
76,0.008264422416687012
77,-0.06060606241226196
78,0.020833313465118408
79,0.0
80,0.0
81,-0.0899999737739563
82,0.008680582046508789
83,0.0
84,-0.019999980926513672
85,-0.06000000238418579
86,-0.13636362552642822
87,0.03703707456588745
88,-0.1155555248260498
89,-0.0700000524520874
90,0.059999942779541016
91,0.01250004768371582
92,-0.0666666030883789
93,0.0
94,-0.018518507480621338
95,0.0
96,0.0
97,0.0
98,0.24915826320648193
99,-0.06944441795349121
100,0.016806721687316895
101,0.040816307067871094
102,0.055555641651153564
103,-0.15000003576278687
104,-0.11000001430511475
105,-0.05612244829535484
106,-0.06666666269302368
107,0.0
108,0.0
109,-0.111111119389534
110,-0.05000007152557373
111,0.030303001403808594
112,0.05490201711654663
113,-0.1039697527885437
114,0.04000002145767212
115,-0.009569406509399414
116,0.1111111044883728
117,0.07438009977340698
118,-5.960464477539063e-08
119,-0.039999961853027344
120,-0.010416626930236816
121,-0.22910216450691223
122,0.0
123,0.0
124,-0.6796875
125,0.0
126,0.015873074531555176
127,0.039999961853027344
128,0.0
129,-0.1428571343421936
130,-0.18518519401550293
131,-0.24489795416593552
132,0.0274999737739563
133,0.04999995231628418
134,0.019230782985687256
135,-5.960464477539063e-08
136,-0.049382686614990234
137,-0.05555558204650879
138,-0.0625
139,-0.1953125
140,-0.022222161293029785
141,-0.6666666865348816
142,-0.06209146976470947
143,-0.13999998569488525
144,-0.10588234663009644
145,-0.005917191505432129
146,0.009999990463256836
147,0.06508880853652954
148,-0.020000040531158447
149,-0.1644444465637207
150,0.04000002145767212
151,-0.09821420907974243
152,0.004201710224151611
153,-0.006944417953491211
154,0.004902005195617676
155,0.0
156,0.079365074634552
157,-0.14682531356811523
158,-0.03571426868438721
159,0.019999980926513672
160,-0.0027701258659362793
161,-0.01777780055999756
162,-0.38333332538604736
163,-0.2844444513320923
164,-5.960464477539063e-08
165,-0.022500038146972656
166,-0.019999980926513672
167,0.027777791023254395
168,-0.009999990463256836
169,-0.2844444513320923
170,-0.0701754093170166
171,0.039999961853027344
172,-0.020408213138580322
