task,accuracy_delta
1,-0.3333333432674408
2,0.0
3,-0.1358025074005127
4,-0.08641976118087769
5,0.05555558204650879
6,-0.005917191505432129
7,0.0
8,-0.00928795337677002
9,-0.21878716349601746
10,-0.010989010334014893
11,-0.050000011920928955
12,-0.1111111044883728
13,0.222222238779068
14,-5.960464477539063e-08
15,0.058888912200927734
16,-0.07999998331069946
17,-0.10000002384185791
18,0.03854876756668091
19,-0.014285683631896973
20,-0.08000004291534424
21,-0.1604938507080078
22,-0.10000002384185791
23,0.04166668653488159
24,-0.10000002384185791
25,-0.04999995231628418
26,-0.013840794563293457
27,0.019607841968536377
28,0.0
29,-0.0125313401222229
30,-0.30000001192092896
31,0.125
32,-0.050000011920928955
33,-0.04081633687019348
34,-0.030364394187927246
35,-0.06228369474411011
36,0.04326927661895752
37,-0.6103896200656891
38,-0.03418800234794617
39,0.0
40,-0.02499997615814209
41,-0.03333330154418945
42,-0.026666641235351562
43,-5.960464477539063e-08
44,-0.050000011920928955
45,-0.02958577871322632
46,-0.012345671653747559
47,-0.20000004768371582
48,-0.15000003576278687
49,-0.050000011920928955
50,-0.0533333420753479
51,0.004444479942321777
52,0.0
53,-0.024691343307495117
54,-5.960464477539063e-08
55,0.06944447755813599
56,-0.034722208976745605
57,-0.07421875
58,0.029999971389770508
59,-0.16176468133926392
60,-0.011363625526428223
61,0.0
62,-0.010000050067901611
63,0.0
64,-0.013333320617675781
65,-0.005952358245849609
66,-0.0666666030883789
67,-0.18000000715255737
68,0.005917191505432129
69,-0.7252066321671009
70,0.9935897588729858
71,-0.06172841787338257
72,-0.01818186044692993
73,0.0
74,-0.3625730872154236
75,-0.04000002145767212
76,0.008264422416687012
77,0.0
78,0.020833313465118408
79,0.0
80,0.0
81,-0.09999996423721313
82,0.008680582046508789
83,0.0
84,0.009999990463256836
85,-0.04000002145767212
86,-0.13636362552642822
87,-0.037037014961242676
88,-0.1155555248260498
89,-0.08000004291534424
90,0.059999942779541016
91,0.037500083446502686
92,-0.0666666030883789
93,-0.009090900421142578
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0471380352973938
99,-0.034722208976745605
100,0.016806721687316895
101,0.020408153533935547
102,0.055555641651153564
103,-0.11428570747375488
104,-0.04000002145767212
105,0.040816325694322586
106,-0.14999999105930328
107,0.0
108,0.050000011920928955
109,-0.111111119389534
110,-0.05000007152557373
111,0.030303001403808594
112,-0.16470587253570557
113,-0.1039697527885437
114,0.009999990463256836
115,-0.019138813018798828
116,0.0
117,0.07438009977340698
118,0.009999990463256836
119,-0.039999961853027344
120,0.020833373069763184
121,-0.25077399611473083
122,0.0
123,0.0
124,-0.2734375
125,0.0
126,5.960464477539063e-08
127,0.059999942779541016
128,-0.7969924584031105
129,-0.08163267374038696
130,-0.06172841787338257
131,-0.22448979318141937
132,-0.09000003337860107
133,0.002499997615814209
134,-0.00641024112701416
135,0.06999993324279785
136,-0.037037014961242676
137,0.02777773141860962
138,0.0
139,-0.3671875
140,-0.022222161293029785
141,-0.3333333432674408
142,-0.049019575119018555
143,-0.12250000238418579
144,5.960464477539063e-08
145,-0.011834323406219482
146,0.019999980926513672
147,0.041420161724090576
148,-5.960464477539063e-08
149,-0.1644444465637207
150,0.04000002145767212
151,-0.10267847776412964
152,0.004201710224151611
153,-0.010416626930236816
154,-0.0049019455909729
155,-0.010000050067901611
156,0.079365074634552
157,-0.031745970249176025
158,-0.03571426868438721
159,0.039999961853027344
160,-0.0027701258659362793
161,-0.01777780055999756
162,-0.38999998569488525
163,-0.03111112117767334
164,-5.960464477539063e-08
165,-0.022500038146972656
166,0.0
167,0.027777791023254395
168,-0.029999971389770508
169,-0.31555554270744324
170,-0.06666666269302368
171,0.019999980926513672
172,-0.030612289905548096
