task,accuracy_delta
1,-0.3333333432674408
2,0.0
3,-0.1358025074005127
4,-0.07407408952713013
5,-0.055555522441864014
6,-0.005917191505432129
7,0.0
8,0.0
9,-0.5219976082444191
10,0.016483545303344727
11,-0.06000000238418579
12,-0.222222238779068
13,0.1944444477558136
14,0.009999990463256836
15,0.058888912200927734
16,-0.03111112117767334
17,-0.06000000238418579
18,0.05442178249359131
19,-0.004761874675750732
20,-0.050000011920928955
21,-0.049382686614990234
22,-0.10000002384185791
23,0.05555558204650879
24,-0.060000061988830566
25,-0.04999995231628418
26,0.013840854167938232
27,0.019607841968536377
28,0.0
29,0.020050108432769775
30,-0.30000001192092896
31,0.131944477558136
32,-0.0899999737739563
33,-0.02040816843509674
34,-0.030364394187927246
35,-0.03460204601287842
36,0.014423131942749023
37,-0.4935064911842346
38,-0.03418800234794617
39,0.0
40,-0.037499964237213135
41,-0.08666664361953735
42,-0.21333330869674683
43,-0.020000040531158447
44,-0.050000011920928955
45,-0.023668646812438965
46,-0.1111111044883728
47,-0.07500004768371582
48,-0.09000003337860107
49,-0.06000000238418579
50,-0.07999998331069946
51,-0.10444438457489014
52,0.0
53,-0.03703707456588745
54,-5.960464477539063e-08
55,0.06944447755813599
56,-0.034722208976745605
57,-0.07421875
58,0.039999961853027344
59,-0.16176468133926392
60,-0.011363625526428223
61,-0.009999990463256836
62,-0.010000050067901611
63,0.019607841968536377
64,-0.08666664361953735
65,-0.0654761791229248
66,0.0
67,-0.17000001668930054
68,0.005917191505432129
69,-0.6590909287333488
70,0.9807692170143127
71,-0.06481480598449707
72,-0.0636364221572876
73,-0.008403301239013672
74,-0.005847930908203125
75,0.0
76,0.008264422416687012
77,0.010101020336151123
78,0.020833313465118408
79,0.024691343307495117
80,0.0
81,-0.0899999737739563
82,0.008680582046508789
83,0.0
84,0.0
85,-0.020000040531158447
86,-0.07575756311416626
87,-0.024691343307495117
88,-0.1155555248260498
89,-0.04000002145767212
90,0.059999942779541016
91,-0.09999996423721313
92,-0.0666666030883789
93,0.0
94,0.018518507480621338
95,-0.012345671653747559
96,0.0
97,0.0
98,0.23569023609161377
99,-0.034722208976745605
100,0.016806721687316895
101,0.040816307067871094
102,0.019841313362121582
103,-0.1428571343421936
104,-0.020000040531158447
105,-0.05612244829535484
106,0.016666680574417114
107,0.0
108,0.029999971389770508
109,-0.111111119389534
110,-0.05000007152557373
111,0.030303001403808594
112,-0.15686273574829102
113,-0.1039697527885437
114,0.009999990463256836
115,-0.05263161659240723
116,0.1111111044883728
117,0.07438009977340698
118,-5.960464477539063e-08
119,-0.039999961853027344
120,0.020833373069763184
121,0.2414860725402832
122,0.0
123,0.0
124,-0.51953125
125,0.0
126,-0.015872955322265625
127,0.12999993562698364
128,-0.09022557735443115
129,-0.1428571343421936
130,-0.12345677614212036
131,-0.020408153533935547
132,-0.125
133,0.029999971389770508
134,0.03205132484436035
135,-5.960464477539063e-08
136,-0.037037014961242676
137,0.055555522441864014
138,0.0
139,-0.29296875
140,-0.022222161293029785
141,-0.3333333432674408
142,-0.049019575119018555
143,-0.07999998331069946
144,-0.023529350757598877
145,-0.011834323406219482
146,0.029999971389770508
147,0.05177515745162964
148,0.029999971389770508
149,-0.1644444465637207
150,0.04000002145767212
151,-0.09374994039535522
152,0.008403420448303223
153,-0.006944417953491211
154,0.014705896377563477
155,0.0
156,0.079365074634552
157,-0.19047611951828003
158,-0.07142859697341919
159,0.06000000238418579
160,-0.0027701258659362793
161,-0.01777780055999756
162,-0.37111109495162964
163,-0.08444446325302124
164,-5.960464477539063e-08
165,-0.03250002861022949
166,0.0
167,0.034722208976745605
168,-0.009999990463256836
169,0.00888890027999878
170,-0.07894736528396606
171,0.059999942779541016
172,-0.05102044343948364
