task,accuracy_delta
1,-0.3333333432674408
2,0.0
3,-0.1975308656692505
4,-0.06172835826873779
5,-0.1111111044883728
6,-0.005917191505432129
7,-0.1111111044883728
8,-0.01238393783569336
9,-0.36028537154197693
10,-0.04395604133605957
11,-0.029999971389770508
12,-0.5555555745959282
13,0.222222238779068
14,0.019999980926513672
15,-0.2199999913573265
16,-0.06666666269302368
17,-0.10000002384185791
18,-0.020408153533935547
19,-0.02857142686843872
20,-0.09000003337860107
21,-0.049382686614990234
22,-0.09000003337860107
23,0.05555558204650879
24,-0.060000061988830566
25,-0.04999995231628418
26,0.0
27,0.019607841968536377
28,0.0
29,0.03007519245147705
30,0.0
31,0.1388888955116272
32,0.0
33,0.10204079747200012
34,-0.030364394187927246
35,-0.03460204601287842
36,0.07211542129516602
37,-0.5064935088157654
38,-0.03418800234794617
39,0.0
40,0.01250004768371582
41,-0.03333330154418945
42,-0.21333330869674683
43,-5.960464477539063e-08
44,-0.050000011920928955
45,-0.0414201021194458
46,0.037037014961242676
47,-0.07500004768371582
48,-0.08000004291534424
49,-0.009999990463256836
50,-0.06666666269302368
51,0.0022222399711608887
52,0.0
53,-0.03703707456588745
54,-5.960464477539063e-08
55,0.04166668653488159
56,-0.034722208976745605
57,-0.10546875
58,0.019999980926513672
59,-0.0625
60,-0.022727251052856445
61,0.009999990463256836
62,-5.960464477539063e-08
63,0.019607841968536377
64,-0.09999996423721313
65,-0.041666626930236816
66,0.0
67,-0.1600000262260437
68,0.01775151491165161
69,-0.7458677887916565
70,0.9871795177459717
71,-0.043209850788116455
72,-0.01818186044692993
73,-0.15966379642486572
74,-0.1111111044883728
75,-0.06000000238418579
76,0.008264422416687012
77,-0.07070708274841309
78,0.020833313465118408
79,0.0
80,0.0
81,-0.09999996423721313
82,0.015625059604644775
83,0.0
84,-0.029999971389770508
85,-0.04000002145767212
86,-0.07575756311416626
87,0.0
88,-0.1155555248260498
89,-0.10000002384185791
90,0.059999942779541016
91,0.04166674613952637
92,-0.0666666030883789
93,-0.018181800842285156
94,0.0
95,0.0
96,0.0
97,0.0
98,0.1750841736793518
99,-0.06944441795349121
100,0.016806721687316895
101,0.020408153533935547
102,0.055555641651153564
103,-0.15000003576278687
104,-0.06000000238418579
105,0.040816325694322586
106,-0.016666650772094727
107,0.0
108,0.039999961853027344
109,-0.111111119389534
110,-0.05000007152557373
111,0.0
112,-0.40784311294555664
113,-0.1039697527885437
114,0.0
115,-0.014354109764099121
116,0.0
117,0.07438009977340698
118,-0.020000040531158447
119,-0.039999961853027344
120,0.020833373069763184
121,-0.4551083445549011
122,0.0
123,0.0
124,-0.3515625
125,0.0
126,5.960464477539063e-08
127,0.1199999451637268
128,-0.01754385232925415
129,-0.020408153533935547
130,-0.17283952236175537
131,-0.22448979318141937
132,0.039999961853027344
133,0.05750000476837158
134,0.012820541858673096
135,0.019999980926513672
136,-0.037037014961242676
137,-0.05555558204650879
138,0.0625
139,-0.27734375
140,-0.022222161293029785
141,-0.5555555745959282
142,-0.049019575119018555
143,-0.03750002384185791
144,-0.07450979948043823
145,-0.005917191505432129
146,-5.960464477539063e-08
147,-0.34319525957107544
148,-0.05000007152557373
149,-0.1644444465637207
150,0.0
151,-0.08482134342193604
152,5.960464477539063e-08
153,0.0
154,0.029411792755126953
155,0.0
156,0.079365074634552
157,-0.13095229864120483
158,-0.03571426868438721
159,0.0
160,-0.0027701258659362793
161,-0.01777780055999756
162,-0.3744444251060486
163,-0.09777778387069702
164,-5.960464477539063e-08
165,-0.022500038146972656
166,0.0
167,0.034722208976745605
168,-0.06000000238418579
169,-0.14222222566604614
170,-0.0929824709892273
171,0.029999971389770508
172,-0.010204076766967773
