task,accuracy_delta
1,0.0
2,0.0
3,-0.012345671653747559
4,0.0
5,0.0
6,0.011834323406219482
7,0.0
8,0.018575847148895264
9,-0.021403074264526367
10,0.0
11,0.009999990463256836
12,0.0
13,0.0
14,-5.960464477539063e-08
15,0.0022222399711608887
16,0.004444479942321777
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,-5.960464477539063e-08
23,0.0
24,-5.960464477539063e-08
25,0.0
26,-0.02076125144958496
27,5.960464477539063e-08
28,0.0
29,0.0
30,0.0
31,0.006944477558135986
32,0.0
33,0.0
34,-0.0020242929458618164
35,0.0
36,5.960464477539063e-08
37,0.0
38,2.9802322387695312e-08
39,0.0
40,0.01250004768371582
41,0.0
42,0.0
43,0.019999980926513672
44,-0.019999980926513672
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.001111149787902832
52,0.0
53,0.0
54,-5.960464477539063e-08
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,-5.960464477539063e-08
63,0.0
64,5.960464477539063e-08
65,0.02380955219268799
66,0.0
67,-5.960464477539063e-08
68,0.0
69,0.05578505992889404
70,0.8910256624221802
71,0.0
72,-5.960464477539063e-08
73,0.0
74,-0.12865495681762695
75,0.0
76,-5.960464477539063e-08
77,0.0
78,0.0
79,0.012345671653747559
80,0.0
81,0.0
82,0.022569477558135986
83,0.0
84,0.0
85,0.0
86,-0.06818181276321411
87,0.0
88,0.0
89,0.0
90,-5.960464477539063e-08
91,5.960464477539063e-08
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.24915826320648193
99,0.0
100,0.0028011202812194824
101,0.0
102,0.02777785062789917
103,-0.007142841815948486
104,0.0
105,-0.005102042108774185
106,0.0
107,0.0
108,0.009999990463256836
109,0.0
110,-5.960464477539063e-08
111,0.0
112,-0.0627450942993164
113,0.0
114,0.0
115,-5.960464477539063e-08
116,0.0
117,-5.960464477539063e-08
118,-5.960464477539063e-08
119,0.0
120,5.960464477539063e-08
121,-0.00619196891784668
122,0.0
123,0.0
124,0.0
125,0.0
126,5.960464477539063e-08
127,0.039999961853027344
128,0.0
129,0.0
130,0.0
131,0.0
132,-0.007499992847442627
133,0.004999995231628418
134,0.0
135,-5.960464477539063e-08
136,0.0
137,0.0
138,0.0
139,0.0
140,5.960464477539063e-08
141,0.0
142,-0.049019575119018555
143,0.0
144,0.011764764785766602
145,0.0
146,-5.960464477539063e-08
147,-0.0014792680740356445
148,-5.960464477539063e-08
149,-0.08888888359069824
150,0.0
151,-0.008928477764129639
152,5.960464477539063e-08
153,0.0
154,0.004902005195617676
155,0.0
156,0.056689321994781494
157,0.003968298435211182
158,0.0
159,0.0
160,-0.0027701258659362793
161,0.0
162,5.960464477539063e-08
163,-0.02222222089767456
164,-5.960464477539063e-08
165,-5.960464477539063e-08
166,0.0
167,0.0
168,0.0
169,0.0
170,-0.010526299476623535
171,-5.960464477539063e-08
172,0.0
