task,accuracy_delta
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.011834323406219482
7,0.0
8,0.009287893772125244
9,0.0
10,0.0
11,0.009999990463256836
12,0.0
13,0.0
14,-5.960464477539063e-08
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,-5.960464477539063e-08
23,0.0
24,-5.960464477539063e-08
25,0.0
26,-0.01038062572479248
27,5.960464477539063e-08
28,0.0
29,-0.00501251220703125
30,0.0
31,-0.020833313465118408
32,0.0
33,0.0
34,-0.0020242929458618164
35,0.0
36,0.08173084259033203
37,0.0
38,2.9802322387695312e-08
39,0.0
40,0.01250004768371582
41,0.0
42,0.0
43,-0.08000004291534424
44,-0.009999990463256836
45,0.0
46,0.012345671653747559
47,0.0
48,0.0
49,0.0
50,0.0
51,0.01888895034790039
52,0.0
53,0.0
54,-5.960464477539063e-08
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,-0.010000050067901611
63,0.0
64,5.960464477539063e-08
65,0.005952417850494385
66,0.0
67,-5.960464477539063e-08
68,0.0
69,-0.719008281826973
70,0.9551281929016113
71,0.0
72,-5.960464477539063e-08
73,0.0
74,-0.026315748691558838
75,0.0
76,-5.960464477539063e-08
77,0.0
78,0.0
79,0.024691343307495117
80,0.0
81,0.0
82,0.022569477558135986
83,0.0
84,0.0
85,0.0
86,-0.0984848141670227
87,0.0
88,0.0
89,-0.010000050067901611
90,-5.960464477539063e-08
91,5.960464477539063e-08
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.24915826320648193
99,0.0
100,0.0
101,0.0
102,0.031746089458465576
103,-0.007142841815948486
104,0.0
105,-0.005102042108774185
106,0.10000002384185791
107,0.0
108,0.009999990463256836
109,0.0
110,-5.960464477539063e-08
111,0.0
112,5.960464477539063e-08
113,0.0
114,0.0
115,-5.960464477539063e-08
116,0.0
117,-5.960464477539063e-08
118,0.009999990463256836
119,0.0
120,5.960464477539063e-08
121,0.00619196891784668
122,0.0
123,0.0
124,0.0
125,0.0
126,5.960464477539063e-08
127,0.019999980926513672
128,0.0
129,0.0
130,0.0
131,0.0
132,-0.01250004768371582
133,0.002499997615814209
134,0.0
135,-5.960464477539063e-08
136,0.0
137,0.0
138,0.0
139,0.0
140,-0.004444420337677002
141,0.0
142,-0.03921562433242798
143,0.007499992847442627
144,0.003921627998352051
145,0.0
146,-5.960464477539063e-08
147,-0.0014792680740356445
148,-5.960464477539063e-08
149,0.004444420337677002
150,0.04000002145767212
151,-0.008928477764129639
152,5.960464477539063e-08
153,0.0
154,0.009803950786590576
155,0.0
156,0.0022675395011901855
157,5.960464477539063e-08
158,-0.017857134342193604
159,0.0
160,0.0027700066566467285
161,0.0
162,5.960464477539063e-08
163,-0.004444420337677002
164,-5.960464477539063e-08
165,-5.960464477539063e-08
166,0.0
167,0.0
168,0.009999990463256836
169,0.0
170,-0.00350874662399292
171,-5.960464477539063e-08
172,0.0
