task,accuracy_delta
1,-0.1111111119389534
2,-0.12999999523162842
3,-0.024691343307495117
4,-0.04938271641731262
5,-0.08333331346511841
6,0.0059171319007873535
7,0.0
8,-0.099071204662323
9,-0.5707491040229797
10,-0.3956044316291809
11,0.33000001311302185
12,-0.2222222238779068
13,-0.08333331346511841
14,0.0
15,-0.8600000143051147
16,0.013333320617675781
17,-0.04000002145767212
18,-0.5714285671710968
19,-0.11428570747375488
20,-0.009999990463256836
21,-0.012345671653747559
22,-0.030000030994415283
23,-0.1319444179534912
24,-0.030000030994415283
25,-0.25
26,0.0
27,-0.2549019455909729
28,-0.45679014921188354
29,-0.0225563645362854
30,-0.04000002145767212
31,-0.07638883590698242
32,-0.030000030994415283
33,-0.30612245202064514
34,0.006072878837585449
35,-0.3425605297088623
36,-0.16826924681663513
37,-0.8051947951316833
38,-0.09401711821556091
39,0.23046875
40,-0.10000002384185791
41,-0.13333332538604736
42,0.0
43,-0.5399999618530273
44,0.009999990463256836
45,-0.15384620428085327
46,-0.43209874629974365
47,-0.1875
48,-0.10999995470046997
49,-0.20999997854232788
50,-0.30666667222976685
51,-0.1344444453716278
52,0.6666666865348816
53,-0.09876543283462524
54,0.024793386459350586
55,0.04166668653488159
56,-0.1875
57,0.0078125
58,-0.6299999952316284
59,-0.07352936267852783
60,-0.03409093618392944
61,-0.07999998331069946
62,0.050000011920928955
63,-0.45098039507865906
64,-0.1600000262260437
65,-0.011904776096343994
66,0.0
67,-0.16999995708465576
68,-0.04733729362487793
69,-0.8533057570457458
70,0.0
71,-0.6049382984638214
72,0.009090900421142578
73,-0.07563024759292603
74,-0.44736844301223755
75,0.2999999523162842
76,0.09090912342071533
77,-0.2626262903213501
78,0.006944417953491211
79,0.0
80,-0.2399999499320984
81,0.020000040531158447
82,-0.006944477558135986
83,0.0
84,-0.3100000023841858
85,-0.06000000238418579
86,-0.022727251052856445
87,0.06172841787338257
88,0.24888890981674194
89,0.06000000238418579
90,0.009999990463256836
91,-0.8708333969116211
92,-0.5333333611488342
93,-0.009090900421142578
94,-0.09259259700775146
95,0.012345671653747559
96,-0.24691355228424072
97,0.0
98,-0.006734013557434082
99,-0.2569444179534912
100,-0.042016804218292236
101,0.20408165454864502
102,-0.023809492588043213
103,-0.17142856121063232
104,-0.7199999690055847
105,-0.13775509595870972
106,-0.4166666865348816
107,0.0
108,0.08000004291534424
109,-0.3333333432674408
110,-0.010000050067901611
111,-0.1818181872367859
112,-0.7764706537127495
113,-0.05293005704879761
114,-0.2799999713897705
115,-0.490430623292923
116,0.1111111044883728
117,-0.23140496015548706
118,-0.0899999737739563
119,-0.6711111068725586
120,-0.4375
121,-0.8575851321220398
122,-1.0
123,-0.19999998807907104
124,-0.65625
125,-0.2380952537059784
126,-0.0476190447807312
127,-0.04000002145767212
128,-0.932330846786499
129,-0.16326528787612915
130,0.024691343307495117
131,-0.22448979318141937
132,-0.25999996066093445
133,0.005000054836273193
134,-0.0064103007316589355
135,-0.30000001192092896
136,-0.08641976118087769
137,-0.027777791023254395
138,-0.1875
139,-0.30859375
140,0.03111112117767334
141,-0.1111111119389534
142,0.006535947322845459
143,-0.28999999165534973
144,-0.22352942824363708
145,-0.14792901277542114
146,-0.6100000143051147
147,-0.5547337532043457
148,-0.30000001192092896
149,-0.7111111283302307
150,0.04000002145767212
151,-0.02232140302658081
152,-0.13025212287902832
153,-0.3333333134651184
154,-0.034313738346099854
155,-0.019999980926513672
156,-0.022675752639770508
157,-0.019841313362121582
158,-0.03571426868438721
159,-0.0899999737739563
160,-0.008310258388519287
161,0.004444420337677002
162,-0.2577778100967407
163,-0.47111111879348755
164,0.25
165,-0.1274999976158142
166,-0.15000003576278687
167,-0.2638888955116272
168,-0.04000002145767212
169,-0.7511111497879028
170,-0.08771926164627075
171,-0.14000001549720764
172,-0.3571428656578064
