task,solved,final_pixel_accuracy,n_hidden_channels,temperature,steps,trials,learning_rate_max,learning_rate_min,mask_prob_low,mask_prob_high
1,False,0.1111111119389534,20,5,10,128,0.1,0,0.0,0.75
2,False,0.9300000071525574,20,5,10,128,0.1,0,0.0,0.75
3,False,0.6296296119689941,20,5,10,128,0.1,0,0.0,0.75
4,False,0.4444444477558136,20,5,10,128,0.1,0,0.0,0.75
5,False,0.8055555820465088,20,5,10,128,0.1,0,0.0,0.75
6,False,0.88165682554245,20,5,10,128,0.1,0,0.0,0.75
7,False,0.7777777910232544,20,5,10,128,0.1,0,0.0,0.75
8,False,0.866873025894165,20,5,10,128,0.1,0,0.0,0.75
9,False,0.8608798980712891,20,5,10,128,0.1,0,0.0,0.75
10,False,0.7197802662849426,20,5,10,128,0.1,0,0.0,0.75
11,False,0.429999977350235,20,5,10,128,0.1,0,0.0,0.75
12,False,0.4444444477558136,20,5,10,128,0.1,0,0.0,0.75
13,False,0.6111111044883728,20,5,10,128,0.1,0,0.0,0.75
14,False,0.8299999833106995,20,5,10,128,0.1,0,0.0,0.75
15,False,0.8688889145851135,20,5,10,128,0.1,0,0.0,0.75
16,False,0.8844444751739502,20,5,10,128,0.1,0,0.0,0.75
17,False,0.9399999976158142,20,5,10,128,0.1,0,0.0,0.75
18,False,0.8707482814788818,20,5,10,128,0.1,0,0.0,0.75
19,False,0.9333333969116211,20,5,10,128,0.1,0,0.0,0.75
20,False,0.7899999618530273,20,5,10,128,0.1,0,0.0,0.75
21,False,0.5555555820465088,20,5,10,128,0.1,0,0.0,0.75
22,False,0.8199999928474426,20,5,10,128,0.1,0,0.0,0.75
23,False,0.8333333134651184,20,5,10,128,0.1,0,0.0,0.75
24,False,0.9099999666213989,20,5,10,128,0.1,0,0.0,0.75
25,False,0.8500000238418579,20,5,10,128,0.1,0,0.0,0.75
26,False,0.5813149213790894,20,5,10,128,0.1,0,0.0,0.75
27,False,0.6666666865348816,20,5,10,128,0.1,0,0.0,0.75
28,False,0.8271604776382446,20,5,10,128,0.1,0,0.0,0.75
29,False,0.859649121761322,20,5,10,128,0.1,0,0.0,0.75
30,False,0.7699999809265137,20,5,10,128,0.1,0,0.0,0.75
31,False,0.8611111044883728,20,5,10,128,0.1,0,0.0,0.75
32,False,0.6499999761581421,20,5,10,128,0.1,0,0.0,0.75
33,False,0.26530611515045166,20,5,10,128,0.1,0,0.0,0.75
34,False,0.9251012206077576,20,5,10,128,0.1,0,0.0,0.75
35,False,0.9723183512687683,20,5,10,128,0.1,0,0.0,0.75
36,False,0.6682692766189575,20,5,10,128,0.1,0,0.0,0.75
37,False,0.0,20,5,10,128,0.1,0,0.0,0.75
38,False,0.4273504614830017,20,5,10,128,0.1,0,0.0,0.75
39,False,0.69140625,20,5,10,128,0.1,0,0.0,0.75
40,False,0.824999988079071,20,5,10,128,0.1,0,0.0,0.75
41,False,0.9333333373069763,20,5,10,128,0.1,0,0.0,0.75
42,False,0.7866666913032532,20,5,10,128,0.1,0,0.0,0.75
43,False,0.019999999552965164,20,5,10,128,0.1,0,0.0,0.75
44,False,0.8799999952316284,20,5,10,128,0.1,0,0.0,0.75
45,False,0.9171597957611084,20,5,10,128,0.1,0,0.0,0.75
46,False,0.48148149251937866,20,5,10,128,0.1,0,0.0,0.75
47,False,0.8499999642372131,20,5,10,128,0.1,0,0.0,0.75
48,False,0.7599999904632568,20,5,10,128,0.1,0,0.0,0.75
49,False,0.7599999904632568,20,5,10,128,0.1,0,0.0,0.75
50,False,0.7599999904632568,20,5,10,128,0.1,0,0.0,0.75
51,False,0.5722222328186035,20,5,10,128,0.1,0,0.0,0.75
52,False,0.0,20,5,10,128,0.1,0,0.0,0.75
53,False,0.9259259104728699,20,5,10,128,0.1,0,0.0,0.75
54,False,0.9834710359573364,20,5,10,128,0.1,0,0.0,0.75
55,False,0.7222222089767456,20,5,10,128,0.1,0,0.0,0.75
56,False,0.9305555820465088,20,5,10,128,0.1,0,0.0,0.75
57,False,0.90234375,20,5,10,128,0.1,0,0.0,0.75
58,False,0.3199999928474426,20,5,10,128,0.1,0,0.0,0.75
59,False,0.8235294222831726,20,5,10,128,0.1,0,0.0,0.75
60,False,0.8636363744735718,20,5,10,128,0.1,0,0.0,0.75
61,False,0.7400000095367432,20,5,10,128,0.1,0,0.0,0.75
62,False,0.9300000071525574,20,5,10,128,0.1,0,0.0,0.75
63,False,0.7647058963775635,20,5,10,128,0.1,0,0.0,0.75
64,False,0.6666666865348816,20,5,10,128,0.1,0,0.0,0.75
65,False,0.898809552192688,20,5,10,128,0.1,0,0.0,0.75
66,False,0.8000000715255737,20,5,10,128,0.1,0,0.0,0.75
67,False,0.7400000095367432,20,5,10,128,0.1,0,0.0,0.75
68,False,0.8698225021362305,20,5,10,128,0.1,0,0.0,0.75
69,False,0.04958677291870117,20,5,10,128,0.1,0,0.0,0.75
70,False,0.9102564454078674,20,5,10,128,0.1,0,0.0,0.75
71,False,0.31790122389793396,20,5,10,128,0.1,0,0.0,0.75
72,False,0.8909090757369995,20,5,10,128,0.1,0,0.0,0.75
73,False,0.8403362035751343,20,5,10,128,0.1,0,0.0,0.75
74,False,0.8684210777282715,20,5,10,128,0.1,0,0.0,0.75
75,False,0.8199999928474426,20,5,10,128,0.1,0,0.0,0.75
76,False,0.4710743725299835,20,5,10,128,0.1,0,0.0,0.75
77,False,0.8181818127632141,20,5,10,128,0.1,0,0.0,0.75
78,False,0.9652777910232544,20,5,10,128,0.1,0,0.0,0.75
79,False,0.8024691343307495,20,5,10,128,0.1,0,0.0,0.75
80,False,0.5600000023841858,20,5,10,128,0.1,0,0.0,0.75
81,False,0.7799999713897705,20,5,10,128,0.1,0,0.0,0.75
82,False,0.9305555820465088,20,5,10,128,0.1,0,0.0,0.75
83,False,0.0,20,5,10,128,0.1,0,0.0,0.75
84,False,0.9099999666213989,20,5,10,128,0.1,0,0.0,0.75
85,False,0.7899999618530273,20,5,10,128,0.1,0,0.0,0.75
86,False,0.575757622718811,20,5,10,128,0.1,0,0.0,0.75
87,False,0.7530864477157593,20,5,10,128,0.1,0,0.0,0.75
88,False,0.45777779817581177,20,5,10,128,0.1,0,0.0,0.75
89,False,0.7999999523162842,20,5,10,128,0.1,0,0.0,0.75
90,False,0.8899999856948853,20,5,10,128,0.1,0,0.0,0.75
91,False,0.8666667342185974,20,5,10,128,0.1,0,0.0,0.75
92,False,0.46666669845581055,20,5,10,128,0.1,0,0.0,0.75
93,False,0.9272726774215698,20,5,10,128,0.1,0,0.0,0.75
94,False,0.9074074029922485,20,5,10,128,0.1,0,0.0,0.75
95,False,0.5555555820465088,20,5,10,128,0.1,0,0.0,0.75
96,False,0.7160493731498718,20,5,10,128,0.1,0,0.0,0.75
97,False,0.4444444477558136,20,5,10,128,0.1,0,0.0,0.75
98,False,0.8181818127632141,20,5,10,128,0.1,0,0.0,0.75
99,False,0.6527777910232544,20,5,10,128,0.1,0,0.0,0.75
100,False,0.8039215803146362,20,5,10,128,0.1,0,0.0,0.75
101,False,0.7755101919174194,20,5,10,128,0.1,0,0.0,0.75
102,False,0.888888955116272,20,5,10,128,0.1,0,0.0,0.75
103,False,0.7714285850524902,20,5,10,128,0.1,0,0.0,0.75
104,False,0.0,20,5,10,128,0.1,0,0.0,0.75
105,False,0.05612244829535484,20,5,10,128,0.1,0,0.0,0.75
106,False,0.05000000447034836,20,5,10,128,0.1,0,0.0,0.75
107,False,0.4444444477558136,20,5,10,128,0.1,0,0.0,0.75
108,False,0.75,20,5,10,128,0.1,0,0.0,0.75
109,False,0.2222222238779068,20,5,10,128,0.1,0,0.0,0.75
110,False,0.9199999570846558,20,5,10,128,0.1,0,0.0,0.75
111,False,0.8787878751754761,20,5,10,128,0.1,0,0.0,0.75
112,False,0.8823530077934265,20,5,10,128,0.1,0,0.0,0.75
