task,solved,final_pixel_accuracy,scored_with_avg,pop_size,n_hidden_channels,temperature,steps,trials,learning_rate_max,learning_rate_min,mask_prob_low,mask_prob_high
1,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
2,False,0.9300000071525574,False,4,20,5,10,128,0.1,0,0.0,0.75
3,False,0.6172839403152466,False,4,20,5,10,128,0.1,0,0.0,0.75
4,False,0.5061728358268738,False,4,20,5,10,128,0.1,0,0.0,0.75
5,False,0.8055555820465088,False,4,20,5,10,128,0.1,0,0.0,0.75
6,False,0.88165682554245,False,4,20,5,10,128,0.1,0,0.0,0.75
7,False,0.7777777910232544,False,4,20,5,10,128,0.1,0,0.0,0.75
8,False,0.866873025894165,False,4,20,5,10,128,0.1,0,0.0,0.75
9,False,0.8810939192771912,False,4,20,5,10,128,0.1,0,0.0,0.75
10,False,0.8186813592910767,False,4,20,5,10,128,0.1,0,0.0,0.75
11,False,0.429999977350235,False,4,20,5,10,128,0.1,0,0.0,0.75
12,False,0.4444444477558136,False,4,20,5,10,128,0.1,0,0.0,0.75
13,False,0.6666666865348816,False,4,20,5,10,128,0.1,0,0.0,0.75
14,False,0.7099999785423279,False,4,20,5,10,128,0.1,0,0.0,0.75
15,False,0.9200000166893005,False,4,20,5,10,128,0.1,0,0.0,0.75
16,False,0.8844444751739502,False,4,20,5,10,128,0.1,0,0.0,0.75
17,False,0.9399999976158142,False,4,20,5,10,128,0.1,0,0.0,0.75
18,False,0.9591836929321289,False,4,20,5,10,128,0.1,0,0.0,0.75
19,False,0.9428572058677673,False,4,20,5,10,128,0.1,0,0.0,0.75
20,False,0.7999999523162842,False,4,20,5,10,128,0.1,0,0.0,0.75
21,False,0.5555555820465088,False,4,20,5,10,128,0.1,0,0.0,0.75
22,False,0.8199999928474426,False,4,20,5,10,128,0.1,0,0.0,0.75
23,False,0.8333333134651184,False,4,20,5,10,128,0.1,0,0.0,0.75
24,False,0.9099999666213989,False,4,20,5,10,128,0.1,0,0.0,0.75
25,False,0.8500000238418579,False,4,20,5,10,128,0.1,0,0.0,0.75
26,False,0.5813149213790894,False,4,20,5,10,128,0.1,0,0.0,0.75
27,False,0.8235294222831726,False,4,20,5,10,128,0.1,0,0.0,0.75
28,False,0.8271604776382446,False,4,20,5,10,128,0.1,0,0.0,0.75
29,False,0.859649121761322,False,4,20,5,10,128,0.1,0,0.0,0.75
30,False,0.7699999809265137,False,4,20,5,10,128,0.1,0,0.0,0.75
31,False,0.9513888955116272,False,4,20,5,10,128,0.1,0,0.0,0.75
32,False,0.75,False,4,20,5,10,128,0.1,0,0.0,0.75
33,False,0.34693875908851624,False,4,20,5,10,128,0.1,0,0.0,0.75
34,False,0.9635627865791321,False,4,20,5,10,128,0.1,0,0.0,0.75
35,False,0.9723183512687683,False,4,20,5,10,128,0.1,0,0.0,0.75
36,False,0.6682692766189575,False,4,20,5,10,128,0.1,0,0.0,0.75
37,False,0.29870128631591797,False,4,20,5,10,128,0.1,0,0.0,0.75
38,False,0.5213675498962402,False,4,20,5,10,128,0.1,0,0.0,0.75
39,False,0.703125,False,4,20,5,10,128,0.1,0,0.0,0.75
40,False,0.875,False,4,20,5,10,128,0.1,0,0.0,0.75
41,False,0.9333333373069763,False,4,20,5,10,128,0.1,0,0.0,0.75
42,False,0.893333375453949,False,4,20,5,10,128,0.1,0,0.0,0.75
43,False,0.019999999552965164,False,4,20,5,10,128,0.1,0,0.0,0.75
44,False,0.8199999928474426,False,4,20,5,10,128,0.1,0,0.0,0.75
45,False,0.9289941191673279,False,4,20,5,10,128,0.1,0,0.0,0.75
46,False,0.48148149251937866,False,4,20,5,10,128,0.1,0,0.0,0.75
47,False,0.9749999642372131,False,4,20,5,10,128,0.1,0,0.0,0.75
48,False,0.85999995470047,False,4,20,5,10,128,0.1,0,0.0,0.75
49,False,0.7599999904632568,False,4,20,5,10,128,0.1,0,0.0,0.75
50,False,0.7599999904632568,False,4,20,5,10,128,0.1,0,0.0,0.75
51,False,0.49222221970558167,False,4,20,5,10,128,0.1,0,0.0,0.75
52,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
53,False,0.9259259104728699,False,4,20,5,10,128,0.1,0,0.0,0.75
54,False,0.9834710359573364,False,4,20,5,10,128,0.1,0,0.0,0.75
55,False,0.7361111044883728,False,4,20,5,10,128,0.1,0,0.0,0.75
56,False,0.9305555820465088,False,4,20,5,10,128,0.1,0,0.0,0.75
57,False,0.90625,False,4,20,5,10,128,0.1,0,0.0,0.75
58,False,0.9599999785423279,False,4,20,5,10,128,0.1,0,0.0,0.75
59,False,0.8235294222831726,False,4,20,5,10,128,0.1,0,0.0,0.75
60,False,0.7272727489471436,False,4,20,5,10,128,0.1,0,0.0,0.75
61,False,0.9300000071525574,False,4,20,5,10,128,0.1,0,0.0,0.75
62,False,0.9199999570846558,False,4,20,5,10,128,0.1,0,0.0,0.75
63,False,0.7647058963775635,False,4,20,5,10,128,0.1,0,0.0,0.75
64,False,0.6666666865348816,False,4,20,5,10,128,0.1,0,0.0,0.75
65,False,0.9047619104385376,False,4,20,5,10,128,0.1,0,0.0,0.75
66,False,0.8000000715255737,False,4,20,5,10,128,0.1,0,0.0,0.75
67,False,0.9199999570846558,False,4,20,5,10,128,0.1,0,0.0,0.75
68,False,0.8934911489486694,False,4,20,5,10,128,0.1,0,0.0,0.75
69,False,0.8842974901199341,False,4,20,5,10,128,0.1,0,0.0,0.75
70,False,0.9102564454078674,False,4,20,5,10,128,0.1,0,0.0,0.75
71,False,0.9320987462997437,False,4,20,5,10,128,0.1,0,0.0,0.75
72,False,0.8909090757369995,False,4,20,5,10,128,0.1,0,0.0,0.75
73,False,0.9159664511680603,False,4,20,5,10,128,0.1,0,0.0,0.75
74,False,0.8684210777282715,False,4,20,5,10,128,0.1,0,0.0,0.75
75,False,0.8199999928474426,False,4,20,5,10,128,0.1,0,0.0,0.75
76,False,0.7851239442825317,False,4,20,5,10,128,0.1,0,0.0,0.75
77,False,0.8181818127632141,False,4,20,5,10,128,0.1,0,0.0,0.75
78,False,0.9652777910232544,False,4,20,5,10,128,0.1,0,0.0,0.75
79,False,0.7160493731498718,False,4,20,5,10,128,0.1,0,0.0,0.75
80,False,0.6399999856948853,False,4,20,5,10,128,0.1,0,0.0,0.75
