task,solved,final_pixel_accuracy,scored_with_avg,pop_size,n_hidden_channels,temperature,steps,trials,learning_rate_max,learning_rate_min,mask_prob_low,mask_prob_high
1,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
2,False,0.8100000023841858,False,4,20,5,10,128,0.1,0,0.0,0.75
3,False,0.604938268661499,False,4,20,5,10,128,0.1,0,0.0,0.75
4,False,0.4444444477558136,False,4,20,5,10,128,0.1,0,0.0,0.75
5,False,0.694444477558136,False,4,20,5,10,128,0.1,0,0.0,0.75
6,False,0.8757396340370178,False,4,20,5,10,128,0.1,0,0.0,0.75
7,False,0.7777777910232544,False,4,20,5,10,128,0.1,0,0.0,0.75
8,False,0.7647058367729187,False,4,20,5,10,128,0.1,0,0.0,0.75
9,False,0.3186682462692261,False,4,20,5,10,128,0.1,0,0.0,0.75
10,False,0.4890109896659851,False,4,20,5,10,128,0.1,0,0.0,0.75
11,False,0.75,False,4,20,5,10,128,0.1,0,0.0,0.75
12,False,0.2222222238779068,False,4,20,5,10,128,0.1,0,0.0,0.75
13,False,0.5555555820465088,False,4,20,5,10,128,0.1,0,0.0,0.75
14,False,0.7099999785423279,False,4,20,5,10,128,0.1,0,0.0,0.75
15,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
16,False,0.8622222542762756,False,4,20,5,10,128,0.1,0,0.0,0.75
17,False,0.85999995470047,False,4,20,5,10,128,0.1,0,0.0,0.75
18,False,0.27437642216682434,False,4,20,5,10,128,0.1,0,0.0,0.75
19,False,0.7904762029647827,False,4,20,5,10,128,0.1,0,0.0,0.75
20,False,0.7599999904632568,False,4,20,5,10,128,0.1,0,0.0,0.75
21,False,0.604938268661499,False,4,20,5,10,128,0.1,0,0.0,0.75
22,False,0.7899999618530273,False,4,20,5,10,128,0.1,0,0.0,0.75
23,False,0.7013888955116272,False,4,20,5,10,128,0.1,0,0.0,0.75
24,False,0.8499999642372131,False,4,20,5,10,128,0.1,0,0.0,0.75
25,False,0.6000000238418579,False,4,20,5,10,128,0.1,0,0.0,0.75
26,False,0.5709342956542969,False,4,20,5,10,128,0.1,0,0.0,0.75
27,False,0.6666666865348816,False,4,20,5,10,128,0.1,0,0.0,0.75
28,False,0.4197530746459961,False,4,20,5,10,128,0.1,0,0.0,0.75
29,False,0.8120300769805908,False,4,20,5,10,128,0.1,0,0.0,0.75
30,False,0.699999988079071,False,4,20,5,10,128,0.1,0,0.0,0.75
31,False,0.819444477558136,False,4,20,5,10,128,0.1,0,0.0,0.75
32,False,0.6499999761581421,False,4,20,5,10,128,0.1,0,0.0,0.75
33,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
34,False,0.8704453706741333,False,4,20,5,10,128,0.1,0,0.0,0.75
35,False,0.608996570110321,False,4,20,5,10,128,0.1,0,0.0,0.75
36,False,0.41826924681663513,False,4,20,5,10,128,0.1,0,0.0,0.75
37,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
38,False,0.38461539149284363,False,4,20,5,10,128,0.1,0,0.0,0.75
39,False,0.953125,False,4,20,5,10,128,0.1,0,0.0,0.75
40,False,0.800000011920929,False,4,20,5,10,128,0.1,0,0.0,0.75
41,False,0.7666667103767395,False,4,20,5,10,128,0.1,0,0.0,0.75
42,False,0.7866666913032532,False,4,20,5,10,128,0.1,0,0.0,0.75
43,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
44,False,0.8199999928474426,False,4,20,5,10,128,0.1,0,0.0,0.75
45,False,0.6982248425483704,False,4,20,5,10,128,0.1,0,0.0,0.75
46,False,0.48148149251937866,False,4,20,5,10,128,0.1,0,0.0,0.75
47,False,0.7299999594688416,False,4,20,5,10,128,0.1,0,0.0,0.75
48,False,0.6800000071525574,False,4,20,5,10,128,0.1,0,0.0,0.75
49,False,0.5699999928474426,False,4,20,5,10,128,0.1,0,0.0,0.75
50,False,0.4266666769981384,False,4,20,5,10,128,0.1,0,0.0,0.75
51,False,0.49222221970558167,False,4,20,5,10,128,0.1,0,0.0,0.75
52,False,0.6666666865348816,False,4,20,5,10,128,0.1,0,0.0,0.75
53,False,0.7777777910232544,False,4,20,5,10,128,0.1,0,0.0,0.75
54,False,0.9834710359573364,False,4,20,5,10,128,0.1,0,0.0,0.75
55,False,0.7777777910232544,False,4,20,5,10,128,0.1,0,0.0,0.75
56,False,0.5833333134651184,False,4,20,5,10,128,0.1,0,0.0,0.75
57,False,0.89453125,False,4,20,5,10,128,0.1,0,0.0,0.75
58,False,0.3199999928474426,False,4,20,5,10,128,0.1,0,0.0,0.75
59,False,0.7205882668495178,False,4,20,5,10,128,0.1,0,0.0,0.75
60,False,0.7272727489471436,False,4,20,5,10,128,0.1,0,0.0,0.75
61,False,0.7799999713897705,False,4,20,5,10,128,0.1,0,0.0,0.75
62,False,0.9599999785423279,False,4,20,5,10,128,0.1,0,0.0,0.75
63,False,0.3333333432674408,False,4,20,5,10,128,0.1,0,0.0,0.75
64,False,0.6133333444595337,False,4,20,5,10,128,0.1,0,0.0,0.75
65,False,0.8928571343421936,False,4,20,5,10,128,0.1,0,0.0,0.75
66,False,0.8666667342185974,False,4,20,5,10,128,0.1,0,0.0,0.75
67,False,0.7400000095367432,False,4,20,5,10,128,0.1,0,0.0,0.75
68,False,0.8047337532043457,False,4,20,5,10,128,0.1,0,0.0,0.75
69,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
70,False,0.8653846383094788,False,4,20,5,10,128,0.1,0,0.0,0.75
71,False,0.31790122389793396,False,4,20,5,10,128,0.1,0,0.0,0.75
72,False,0.9090908765792847,False,4,20,5,10,128,0.1,0,0.0,0.75
73,False,0.8571429252624512,False,4,20,5,10,128,0.1,0,0.0,0.75
74,False,0.42105263471603394,False,4,20,5,10,128,0.1,0,0.0,0.75
75,False,0.7999999523162842,False,4,20,5,10,128,0.1,0,0.0,0.75
76,False,0.6363636255264282,False,4,20,5,10,128,0.1,0,0.0,0.75
77,False,0.5757575631141663,False,4,20,5,10,128,0.1,0,0.0,0.75
78,False,0.9513888955116272,False,4,20,5,10,128,0.1,0,0.0,0.75
79,False,0.7160493731498718,False,4,20,5,10,128,0.1,0,0.0,0.75
80,False,0.5600000023841858,False,4,20,5,10,128,0.1,0,0.0,0.75
81,False,0.7400000095367432,False,4,20,5,10,128,0.1,0,0.0,0.75
82,False,0.890625,False,4,20,5,10,128,0.1,0,0.0,0.75
83,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
84,False,0.5999999642372131,False,4,20,5,10,128,0.1,0,0.0,0.75
85,False,0.699999988079071,False,4,20,5,10,128,0.1,0,0.0,0.75
86,False,0.5454545617103577,False,4,20,5,10,128,0.1,0,0.0,0.75
87,False,0.8888888955116272,False,4,20,5,10,128,0.1,0,0.0,0.75
88,False,0.7288889288902283,False,4,20,5,10,128,0.1,0,0.0,0.75
89,False,0.8499999642372131,False,4,20,5,10,128,0.1,0,0.0,0.75
90,False,0.85999995470047,False,4,20,5,10,128,0.1,0,0.0,0.75
91,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
92,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
93,False,0.8909090757369995,False,4,20,5,10,128,0.1,0,0.0,0.75
94,False,0.7222222089767456,False,4,20,5,10,128,0.1,0,0.0,0.75
95,False,0.5555555820465088,False,4,20,5,10,128,0.1,0,0.0,0.75
96,False,0.654321014881134,False,4,20,5,10,128,0.1,0,0.0,0.75
