task,solved,final_pixel_accuracy,n_hidden_channels,temperature,steps,trials,learning_rate,mask_prob_low,mask_prob_high
1,False,0.2222222238779068,20,5,10,128,0.002,0.0,0.75
2,False,0.9300000071525574,20,5,10,128,0.002,0.0,0.75
3,False,0.6296296119689941,20,5,10,128,0.002,0.0,0.75
4,False,0.9088670015335083,20,5,10,128,0.002,0.0,0.75
5,False,0.8088235259056091,20,5,10,128,0.002,0.0,0.75
6,False,0.6700000166893005,20,5,10,128,0.002,0.0,0.75
7,False,0.8933823704719543,20,5,10,128,0.002,0.0,0.75
8,False,0.6734693646430969,20,5,10,128,0.002,0.0,0.75
9,False,0.45679011940956116,20,5,10,128,0.002,0.0,0.75
10,False,0.8055555820465088,20,5,10,128,0.002,0.0,0.75
11,False,0.9555555582046509,20,5,10,128,0.002,0.0,0.75
12,False,0.8033241033554077,20,5,10,128,0.002,0.0,0.75
13,False,0.88165682554245,20,5,10,128,0.002,0.0,0.75
14,False,0.9053497910499573,20,5,10,128,0.002,0.0,0.75
15,False,0.5988888740539551,20,5,10,128,0.002,0.0,0.75
16,False,0.8888888955116272,20,5,10,128,0.002,0.0,0.75
17,False,0.8544891476631165,20,5,10,128,0.002,0.0,0.75
18,False,0.7549999952316284,20,5,10,128,0.002,0.0,0.75
19,False,0.9851851463317871,20,5,10,128,0.002,0.0,0.75
20,False,0.7818877100944519,20,5,10,128,0.002,0.0,0.75
21,False,0.8442330360412598,20,5,10,128,0.002,0.0,0.75
22,False,0.8159722089767456,20,5,10,128,0.002,0.0,0.75
23,False,0.7199999690055847,20,5,10,128,0.002,0.0,0.75
24,False,0.8186813592910767,20,5,10,128,0.002,0.0,0.75
25,False,0.8474074006080627,20,5,10,128,0.002,0.0,0.75
26,False,0.8479999899864197,20,5,10,128,0.002,0.0,0.75
27,False,0.4444444477558136,20,5,10,128,0.002,0.0,0.75
28,False,0.6388888955116272,20,5,10,128,0.002,0.0,0.75
29,False,0.98046875,20,5,10,128,0.002,0.0,0.75
30,False,0.7400000095367432,20,5,10,128,0.002,0.0,0.75
31,False,0.7799999713897705,20,5,10,128,0.002,0.0,0.75
32,False,0.8585858345031738,20,5,10,128,0.002,0.0,0.75
33,False,0.8533333539962769,20,5,10,128,0.002,0.0,0.75
34,False,0.8799999952316284,20,5,10,128,0.002,0.0,0.75
35,False,0.9341563582420349,20,5,10,128,0.002,0.0,0.75
36,False,0.9300000071525574,20,5,10,128,0.002,0.0,0.75
37,False,0.9070295095443726,20,5,10,128,0.002,0.0,0.75
38,False,0.9587912559509277,20,5,10,128,0.002,0.0,0.75
39,False,0.4099999964237213,20,5,10,128,0.002,0.0,0.75
40,False,0.6499999761581421,20,5,10,128,0.002,0.0,0.75
41,False,0.8787878751754761,20,5,10,128,0.002,0.0,0.75
42,False,0.9142857789993286,20,5,10,128,0.002,0.0,0.75
43,False,0.8157894611358643,20,5,10,128,0.002,0.0,0.75
44,False,0.8052884936332703,20,5,10,128,0.002,0.0,0.75
45,False,0.25,20,5,10,128,0.002,0.0,0.75
46,False,0.8479020595550537,20,5,10,128,0.002,0.0,0.75
47,False,0.8888888955116272,20,5,10,128,0.002,0.0,0.75
48,False,0.85999995470047,20,5,10,128,0.002,0.0,0.75
49,False,0.7992610931396484,20,5,10,128,0.002,0.0,0.75
50,False,0.949999988079071,20,5,10,128,0.002,0.0,0.75
51,False,0.5802469253540039,20,5,10,128,0.002,0.0,0.75
52,False,0.8199999928474426,20,5,10,128,0.002,0.0,0.75
53,False,0.8263888955116272,20,5,10,128,0.002,0.0,0.75
54,False,0.8174999952316284,20,5,10,128,0.002,0.0,0.75
55,False,0.8999999761581421,20,5,10,128,0.002,0.0,0.75
56,False,0.729411780834198,20,5,10,128,0.002,0.0,0.75
57,False,0.5235456824302673,20,5,10,128,0.002,0.0,0.75
58,False,0.75,20,5,10,128,0.002,0.0,0.75
59,False,0.765625,20,5,10,128,0.002,0.0,0.75
60,False,0.6033057570457458,20,5,10,128,0.002,0.0,0.75
61,False,0.5778546929359436,20,5,10,128,0.002,0.0,0.75
62,False,0.8264462351799011,20,5,10,128,0.002,0.0,0.75
63,False,0.8235294222831726,20,5,10,128,0.002,0.0,0.75
64,False,0.7578125,20,5,10,128,0.002,0.0,0.75
65,False,0.7777777910232544,20,5,10,128,0.002,0.0,0.75
66,False,0.484127014875412,20,5,10,128,0.002,0.0,0.75
67,False,0.964102566242218,20,5,10,128,0.002,0.0,0.75
68,False,0.7455621361732483,20,5,10,128,0.002,0.0,0.75
69,False,0.8546366095542908,20,5,10,128,0.002,0.0,0.75
70,False,0.8901098966598511,20,5,10,128,0.002,0.0,0.75
71,False,0.9004525542259216,20,5,10,128,0.002,0.0,0.75
72,False,0.7699999809265137,20,5,10,128,0.002,0.0,0.75
73,False,0.8222222328186035,20,5,10,128,0.002,0.0,0.75
74,False,0.9027777910232544,20,5,10,128,0.002,0.0,0.75
75,False,0.7299999594688416,20,5,10,128,0.002,0.0,0.75
76,False,0.8984375,20,5,10,128,0.002,0.0,0.75
77,False,0.30612245202064514,20,5,10,128,0.002,0.0,0.75
78,False,0.4899999797344208,20,5,10,128,0.002,0.0,0.75
79,False,0.9291498064994812,20,5,10,128,0.002,0.0,0.75
80,False,0.9149519801139832,20,5,10,128,0.002,0.0,0.75
81,False,0.9031141996383667,20,5,10,128,0.002,0.0,0.75
82,False,0.7283950448036194,20,5,10,128,0.002,0.0,0.75
83,False,0.6105769276618958,20,5,10,128,0.002,0.0,0.75
84,False,0.5324675440788269,20,5,10,128,0.002,0.0,0.75
85,False,0.819444477558136,20,5,10,128,0.002,0.0,0.75
86,False,0.46153849363327026,20,5,10,128,0.002,0.0,0.75
87,False,0.68359375,20,5,10,128,0.002,0.0,0.75
88,False,0.862500011920929,20,5,10,128,0.002,0.0,0.75
89,False,0.6991999745368958,20,5,10,128,0.002,0.0,0.75
90,False,0.8347107172012329,20,5,10,128,0.002,0.0,0.75
91,False,0.9333333373069763,20,5,10,128,0.002,0.0,0.75
92,False,0.8235294222831726,20,5,10,128,0.002,0.0,0.75
93,False,0.8088889122009277,20,5,10,128,0.002,0.0,0.75
94,False,0.6363636255264282,20,5,10,128,0.002,0.0,0.75
95,False,0.75,20,5,10,128,0.002,0.0,0.75
96,False,0.809440553188324,20,5,10,128,0.002,0.0,0.75
97,False,0.7199999690055847,20,5,10,128,0.002,0.0,0.75
98,False,0.7311111092567444,20,5,10,128,0.002,0.0,0.75
99,False,0.9090908765792847,20,5,10,128,0.002,0.0,0.75
100,False,0.7144970297813416,20,5,10,128,0.002,0.0,0.75
101,False,0.5432099103927612,20,5,10,128,0.002,0.0,0.75
102,False,0.8199999928474426,20,5,10,128,0.002,0.0,0.75
103,False,0.7916666865348816,20,5,10,128,0.002,0.0,0.75
104,False,0.8671875,20,5,10,128,0.002,0.0,0.75
