task,solved,final_pixel_accuracy,n_hidden_channels,temperature,steps,trials,learning_rate,mask_prob_low,mask_prob_high
1,False,0.1111111119389534,20,5,10,128,0.002,0.0,0.75
2,False,0.9399999976158142,20,5,10,128,0.002,0.0,0.75
3,False,0.6296296119689941,20,5,10,128,0.002,0.0,0.75
4,False,0.4938271641731262,20,5,10,128,0.002,0.0,0.75
5,False,0.7777777910232544,20,5,10,128,0.002,0.0,0.75
6,False,0.8698225021362305,20,5,10,128,0.002,0.0,0.75
7,False,0.7777777910232544,20,5,10,128,0.002,0.0,0.75
8,False,0.8637770414352417,20,5,10,128,0.002,0.0,0.75
9,False,0.8894173502922058,20,5,10,128,0.002,0.0,0.75
10,False,0.884615421295166,20,5,10,128,0.002,0.0,0.75
11,False,0.41999998688697815,20,5,10,128,0.002,0.0,0.75
12,False,0.4444444477558136,20,5,10,128,0.002,0.0,0.75
13,False,0.6388888955116272,20,5,10,128,0.002,0.0,0.75
14,False,0.7099999785423279,20,5,10,128,0.002,0.0,0.75
15,False,0.8600000143051147,20,5,10,128,0.002,0.0,0.75
16,False,0.8488889336585999,20,5,10,128,0.002,0.0,0.75
17,False,0.8999999761581421,20,5,10,128,0.002,0.0,0.75
18,False,0.8458049893379211,20,5,10,128,0.002,0.0,0.75
19,False,0.9047619104385376,20,5,10,128,0.002,0.0,0.75
20,False,0.7699999809265137,20,5,10,128,0.002,0.0,0.75
21,False,0.6172839403152466,20,5,10,128,0.002,0.0,0.75
22,False,0.8199999928474426,20,5,10,128,0.002,0.0,0.75
23,False,0.8333333134651184,20,5,10,128,0.002,0.0,0.75
24,False,0.8799999952316284,20,5,10,128,0.002,0.0,0.75
25,False,0.8500000238418579,20,5,10,128,0.002,0.0,0.75
26,False,0.5709342956542969,20,5,10,128,0.002,0.0,0.75
27,False,0.9215686321258545,20,5,10,128,0.002,0.0,0.75
28,False,0.8765432238578796,20,5,10,128,0.002,0.0,0.75
29,False,0.8345864415168762,20,5,10,128,0.002,0.0,0.75
30,False,0.7400000095367432,20,5,10,128,0.002,0.0,0.75
31,False,0.8958333134651184,20,5,10,128,0.002,0.0,0.75
32,False,0.6800000071525574,20,5,10,128,0.002,0.0,0.75
33,False,0.30612245202064514,20,5,10,128,0.002,0.0,0.75
34,False,0.8643724918365479,20,5,10,128,0.002,0.0,0.75
35,False,0.9515570998191833,20,5,10,128,0.002,0.0,0.75
36,False,0.5865384936332703,20,5,10,128,0.002,0.0,0.75
37,False,0.8051947951316833,20,5,10,128,0.002,0.0,0.75
38,False,0.47863250970840454,20,5,10,128,0.002,0.0,0.75
39,False,0.72265625,20,5,10,128,0.002,0.0,0.75
40,False,0.9000000357627869,20,5,10,128,0.002,0.0,0.75
41,False,0.9000000357627869,20,5,10,128,0.002,0.0,0.75
42,False,0.7866666913032532,20,5,10,128,0.002,0.0,0.75
43,False,0.5399999618530273,20,5,10,128,0.002,0.0,0.75
44,False,0.8100000023841858,20,5,10,128,0.002,0.0,0.75
45,False,0.8520710468292236,20,5,10,128,0.002,0.0,0.75
46,False,0.9135802388191223,20,5,10,128,0.002,0.0,0.75
47,False,0.9174999594688416,20,5,10,128,0.002,0.0,0.75
48,False,0.7899999618530273,20,5,10,128,0.002,0.0,0.75
49,False,0.7799999713897705,20,5,10,128,0.002,0.0,0.75
50,False,0.7333333492279053,20,5,10,128,0.002,0.0,0.75
51,False,0.6266666650772095,20,5,10,128,0.002,0.0,0.75
52,False,0.0,20,5,10,128,0.002,0.0,0.75
53,False,0.8765432238578796,20,5,10,128,0.002,0.0,0.75
54,False,0.9586776494979858,20,5,10,128,0.002,0.0,0.75
55,False,0.7361111044883728,20,5,10,128,0.002,0.0,0.75
56,False,0.7708333134651184,20,5,10,128,0.002,0.0,0.75
57,False,0.88671875,20,5,10,128,0.002,0.0,0.75
58,False,0.949999988079071,20,5,10,128,0.002,0.0,0.75
59,False,0.7941176295280457,20,5,10,128,0.002,0.0,0.75
60,False,0.761363685131073,20,5,10,128,0.002,0.0,0.75
61,False,0.85999995470047,20,5,10,128,0.002,0.0,0.75
62,False,0.9099999666213989,20,5,10,128,0.002,0.0,0.75
63,False,0.7843137383460999,20,5,10,128,0.002,0.0,0.75
64,False,0.7733333706855774,20,5,10,128,0.002,0.0,0.75
65,False,0.9047619104385376,20,5,10,128,0.002,0.0,0.75
66,False,0.8666667342185974,20,5,10,128,0.002,0.0,0.75
67,False,0.9099999666213989,20,5,10,128,0.002,0.0,0.75
68,False,0.8520710468292236,20,5,10,128,0.002,0.0,0.75
69,False,0.8533057570457458,20,5,10,128,0.002,0.0,0.75
70,False,0.8653846383094788,20,5,10,128,0.002,0.0,0.75
71,False,0.9228395223617554,20,5,10,128,0.002,0.0,0.75
72,False,0.8999999761581421,20,5,10,128,0.002,0.0,0.75
73,False,0.9327731728553772,20,5,10,128,0.002,0.0,0.75
74,False,0.8684210777282715,20,5,10,128,0.002,0.0,0.75
75,False,0.5,20,5,10,128,0.002,0.0,0.75
76,False,0.5454545021057129,20,5,10,128,0.002,0.0,0.75
77,False,0.8383838534355164,20,5,10,128,0.002,0.0,0.75
78,False,0.944444477558136,20,5,10,128,0.002,0.0,0.75
79,False,0.7160493731498718,20,5,10,128,0.002,0.0,0.75
80,False,0.7999999523162842,20,5,10,128,0.002,0.0,0.75
81,False,0.7199999690055847,20,5,10,128,0.002,0.0,0.75
82,False,0.897569477558136,20,5,10,128,0.002,0.0,0.75
83,False,0.0,20,5,10,128,0.002,0.0,0.75
84,False,0.9099999666213989,20,5,10,128,0.002,0.0,0.75
85,False,0.7599999904632568,20,5,10,128,0.002,0.0,0.75
86,False,0.5681818127632141,20,5,10,128,0.002,0.0,0.75
87,False,0.8271604776382446,20,5,10,128,0.002,0.0,0.75
88,False,0.48000001907348633,20,5,10,128,0.002,0.0,0.75
89,False,0.7899999618530273,20,5,10,128,0.002,0.0,0.75
90,False,0.8499999642372131,20,5,10,128,0.002,0.0,0.75
91,False,0.8708333969116211,20,5,10,128,0.002,0.0,0.75
92,False,0.5333333611488342,20,5,10,128,0.002,0.0,0.75
93,False,0.8999999761581421,20,5,10,128,0.002,0.0,0.75
94,False,0.8148148059844971,20,5,10,128,0.002,0.0,0.75
95,False,0.5432099103927612,20,5,10,128,0.002,0.0,0.75
96,False,0.9012345671653748,20,5,10,128,0.002,0.0,0.75
97,False,0.0,20,5,10,128,0.002,0.0,0.75
98,False,0.8215488195419312,20,5,10,128,0.002,0.0,0.75
99,False,0.9097222089767456,20,5,10,128,0.002,0.0,0.75
100,False,0.7899159789085388,20,5,10,128,0.002,0.0,0.75
101,False,0.714285671710968,20,5,10,128,0.002,0.0,0.75
102,False,0.8809524178504944,20,5,10,128,0.002,0.0,0.75
103,False,0.8142856955528259,20,5,10,128,0.002,0.0,0.75
104,False,0.7199999690055847,20,5,10,128,0.002,0.0,0.75
105,False,0.13775509595870972,20,5,10,128,0.002,0.0,0.75
106,False,0.4166666865348816,20,5,10,128,0.002,0.0,0.75
107,False,0.4444444477558136,20,5,10,128,0.002,0.0,0.75
108,False,0.6699999570846558,20,5,10,128,0.002,0.0,0.75
109,False,0.3333333432674408,20,5,10,128,0.002,0.0,0.75
110,False,0.9300000071525574,20,5,10,128,0.002,0.0,0.75
111,False,0.9191918969154358,20,5,10,128,0.002,0.0,0.75
